date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:05	23424/23424	---M--	200	added ('OK')	font/woff	etag:%22557535a5-5b80%22	https://wow-themes.com/demo/html/perfume/css/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/css/fonts/glyphicons-halflings-regular.woff	(from https://wow-themes.com/demo/html/perfume/css/bootstrap.css)
15:23:06	45404/45404	---M--	200	added ('OK')	application/octet-stream	etag:%22557535a4-b15c%22	https://wow-themes.com/demo/html/perfume/css/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/css/fonts/glyphicons-halflings-regular.ttf	(from https://wow-themes.com/demo/html/perfume/css/bootstrap.css)
15:23:06	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22557535a2-1a8c2%22	https://wow-themes.com/demo/html/perfume/css/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/css/fonts/glyphicons-halflings-regular.svg	(from https://wow-themes.com/demo/html/perfume/css/bootstrap.css)
15:23:06	9310/9310	---M--	200	added ('OK')	image/jpeg	etag:%22557539a8-245e%22	https://wow-themes.com/demo/html/perfume/images/patter-1.jpg	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/images/patter-1.jpg	(from https://wow-themes.com/demo/html/perfume/css/style.css)
15:23:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Jan%202021%2009:53:22%20GMT	https://wow-themes.com/demo/html/perfume/css/grabbing.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/css/grabbing.png	(from https://wow-themes.com/demo/html/perfume/css/owl.carousel.css)
15:23:10	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2016%20Jan%202021%2009:53:25%20GMT	https://www.wow-themes.com/demo/html/perfume/css/grabbing.png	C:/My%20Web%20Sites/Ecomm3/www.wow-themes.com/demo/html/perfume/css/grabbing.4e.delayed	(from https://wow-themes.com/demo/html/perfume/css/owl.carousel.css)
15:23:11	42935/42935	---M--	200	added ('OK')	image/png	etag:%2255753590-a7b7%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/images/gradient/g30.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/images/gradient/g30.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:12	42464/42464	---M--	200	added ('OK')	image/png	etag:%2255753590-a5e0%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/images/gradient/g40.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/images/gradient/g40.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:12	4289/4289	---M--	200	added ('OK')	image/png	etag:%2255753566-10c1%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/shadow1.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/shadow1.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:12	5661/5661	---M--	200	added ('OK')	image/png	etag:%2255753568-161d%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/shadow2.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/shadow2.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:13	6428/6428	---M--	200	added ('OK')	image/png	etag:%2255753568-191c%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/shadow3.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/shadow3.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:13	933/933	---M--	200	added ('OK')	image/png	etag:%225575355f-3a5%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/gridtile.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/gridtile.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:14	931/931	---M--	200	added ('OK')	image/png	etag:%2255753561-3a3%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/gridtile_white.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/gridtile_white.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:14	938/938	---M--	200	added ('OK')	image/png	etag:%2255753560-3aa%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/gridtile_3x3.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/gridtile_3x3.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:14	935/935	---M--	200	added ('OK')	image/png	etag:%2255753560-3a7%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/gridtile_3x3_white.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/gridtile_3x3_white.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:15	2746/2746	---M--	200	added ('OK')	image/png	etag:%2255753558-aba%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/boxed_bgtile.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/boxed_bgtile.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:15	149/149	---M--	200	added ('OK')	image/png	etag:%2255753566-95%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/navigdots_bgtile.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/navigdots_bgtile.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:16	2254/2254	---M--	200	added ('OK')	image/png	etag:%2255753559-8ce%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/bullet.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/bullet.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:16	1153/1153	---M--	200	added ('OK')	image/png	etag:%225575355a-481%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/bullets.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/bullets.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:16	278/278	---M--	200	added ('OK')	image/png	etag:%225575355b-116%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/bullets2.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/bullets2.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:17	924/924	---M--	200	added ('OK')	image/png	etag:%225575355d-39c%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/bullet_boxed.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/bullet_boxed.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:17	743/743	---M--	200	added ('OK')	image/png	etag:%2255753565-2e7%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/navigdots.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/navigdots.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:18	1517/1517	---M--	200	added ('OK')	image/png	etag:%2255753562-5ed%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/large_left.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/large_left.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:18	1561/1561	---M--	200	added ('OK')	image/png	etag:%2255753563-619%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/large_right.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/large_right.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:18	670/670	---M--	200	added ('OK')	image/png	etag:%225575356a-29e%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/small_left.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/small_left.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:19	668/668	---M--	200	added ('OK')	image/png	etag:%225575356c-29c%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/small_right.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/small_right.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:19	807/807	---M--	200	added ('OK')	image/png	etag:%2255753555-327%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/arrow_left.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/arrow_left.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:20	820/820	---M--	200	added ('OK')	image/png	etag:%2255753556-334%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/arrow_right.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/arrow_right.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:20	846/846	---M--	200	added ('OK')	image/png	etag:%225575356b-34e%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/small_left_boxed.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/small_left_boxed.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:21	807/807	---M--	200	added ('OK')	image/png	etag:%225575356d-327%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/small_right_boxed.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/small_right_boxed.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:21	43543/43543	---M--	200	added ('OK')	image/png	etag:%2255753551-aa17%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/arrowleft.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/arrowleft.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:22	43719/43719	---M--	200	added ('OK')	image/png	etag:%2255753551-aac7%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/arrowright.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/arrowright.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:22	348/348	---M--	200	added ('OK')	image/png	etag:%2255753555-15c%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/arrow_left2.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/arrow_left2.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
15:23:23	343/343	---M--	200	added ('OK')	image/png	etag:%2255753557-157%22	https://wow-themes.com/demo/html/perfume/js/rs-plugin/assets/arrow_right2.png	C:/My%20Web%20Sites/Ecomm3/wow-themes.com/demo/html/perfume/js/rs-plugin/assets/arrow_right2.png	(from https://wow-themes.com/demo/html/perfume/js/rs-plugin/css/settings.css)
